# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] (empty line — not used by 3DGS)
1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1 frame_000000.png

2 0.9572868003607523 -0.2862762125644496 -0.018446495499720824 -0.03616128839803884 0.014133767138848317 0.024720606441378894 -0.03083650487968785 1 frame_000001.png

3 0.878642901595226 -0.4768313180597184 -0.012572090136817954 -0.02145898747250879 -0.035181130362686275 0.448377899220308 0.09121363152351915 1 frame_000002.png

4 0.7720292003351429 -0.6354514389490575 -0.01292391708428406 0.0023140731731519783 -0.051014739633798614 0.8518594023584667 0.1527729250367077 1 frame_000003.png

5 -0.5699522787523137 0.8208885555434615 0.025462143626935246 -0.025456994416774983 -0.1046391656203235 1.4513978300705035 -0.43462868143391525 1 frame_000004.png

6 -0.3727627816652816 0.9252621258966877 0.029955375473317888 -0.06356557611283427 -0.33663949318644026 1.826082701313725 -2.1874320464409296 1 frame_000005.png

7 -0.0239590627035184 0.9959125777816333 0.033850651684756684 -0.08023860736097287 -0.41568931261699277 0.7134579091263425 -3.0663714455836053 1 frame_000006.png

8 -0.011589779133244764 0.9922654712359952 0.039878851619845015 -0.11698114722438598 -0.6498807939698825 1.3383119856847738 -2.976139210912519 1 frame_000007.png

9 0.26201729962497133 0.9575910870718582 0.04532041623715803 -0.1109608243023885 -0.6331282706759258 0.19022392598437515 -3.577180319119188 1 frame_000008.png

10 0.5228998565985915 0.8436904206468081 0.03807683349410386 -0.11537923915959292 -0.6824428943293523 -1.0379085399217394 -3.9851820119148296 1 frame_000009.png

11 0.718981230575328 0.6864866246155387 0.04636209561138176 -0.09824795364216311 -0.5536145372207631 -2.535683725095256 -3.4079224805113966 1 frame_000010.png

12 0.7940054534001864 0.5951382973235958 0.05854279964441024 -0.10926338654522035 -0.620919143963616 -2.6210948279792325 -2.7137941115492357 1 frame_000011.png

13 0.9591271665338054 0.2651869541724373 0.04048752712196571 -0.09006507592362183 -0.46009669070595405 -3.0814131551225783 -1.2131806526413393 1 frame_000012.png

14 0.9945685987201407 -0.08971662884189728 0.033270811316181745 -0.04095463421230986 -0.14708686251165945 -2.767784003214116 0.4535732996188961 1 frame_000013.png

15 0.93972086044848 -0.340616354683517 0.005503788445907812 -0.029578905876038505 -0.07028616835793146 -2.2427180394615043 1.7344746672738376 1 frame_000014.png

16 0.7145453009841222 -0.6990932374334534 -0.015262115700437078 0.021464529826430597 -0.012608742431294923 0.04668292499868783 1.5637018875122721 1 frame_000015.png

17 -0.6941753401149556 0.7189102075885384 0.023712092138441228 -0.026952686094496255 -0.11209135732088882 0.21992181977261088 0.49439345692565534 1 frame_000016.png

18 -0.5849273880743393 0.8101534226419166 0.018497928251661726 -0.03419369989509282 -0.17949019354062926 0.5368868555803943 -0.41151001158758105 1 frame_000017.png

19 0.9041677734534368 -0.42349059721243404 0.009986032428527145 -0.05510563199208372 -0.5087313846677823 -0.010612614365168372 -0.34134793490172927 1 frame_000018.png

20 0.9524698992601925 -0.2997679923397943 -0.001544183671673735 -0.054202004286151545 -0.5151872234784315 0.10994647276228668 -0.39055091632275984 1 frame_000019.png

